,Unnamed: 0,Mass
0,0,1
1,3,1.1
2,1,2.1
3,8,1.5
4,12,1.8
5,5,2.2
6,18,1.9
7,17,1.9
8,4,1.1
9,6,2.6
10,24,2.8
11,14,1.5
12,21,3.8
13,45,2.4
14,32,2.9
15,25,1.5
16,63,
17,30,9.0
18,83,1.43
19,55,0.82
20,31,4.0
21,40,6.1
22,33,33
23,43,2.8
24,65,0.7
25,53,0.783
26,28,3.5
27,72,0.6
28,34,4.25
29,49,24
30,27,5.0
31,75,0.8
32,71,13.9
33,96,33
34,38,3.5
35,10,6.7
36,84,290
37,85,189
38,92,<20
39,87,57.48
40,78,24
41,66,0.7 - 1.0
42,86,19
43,91,0.075
44,44,5.9
45,48,3.0
46,73,?
47,54,0.991
48,74,?
49,50,2.1
50,88,1.01
51,26,8.6
52,77,100
53,16,11.43
54,37,5.7
55,67,1.59
56,76,17
57,70,1.2
58,2,15
59,13,18
60,20,16
61,69,0.76
62,52,2.8
63,93,0.089
64,11,10.5
65,42,7
66,68,0.85
67,64,18.2
68,82,0.12
69,94,0.07
70,22,12.5
71,47,5.4
72,60,1.27
73,89,0.16
74,79,7 - 10
75,90,50
76,62,30
77,80,0.14
78,46,13.5
79,35,8.5
80,59,19.2
81,81,0.04
82,15,12
83,39,9.0
84,9,20
85,51,15
86,57,100
87,95,0.003
88,23,14.5
89,61,22
90,56,20
91,41,2.39
92,7,23
93,58,4.5
94,36,17
95,29,32
96,19,19
